date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"December 19, 2020 at 1:25:41 AM",120.73 KB,0.19416243654822335,0.07884940778341794,0.0311336717428088,0,0
"December 19, 2020 at 10:09:41 PM",120.59 KB,???,???,???,???,???
"December 20, 2020 at 10:08:41 PM",120.47 KB,0.1984016678248784,0,0,0,0
"December 21, 2020 at 10:08:41 PM",120.45 KB,0.16511574074074073,0,0,0,0
"December 21, 2020 at 11:08:41 PM",120.46 KB,0.19194444444444445,0,0,0,0
"December 22, 2020 at 10:08:41 PM",120.83 KB,0.1614734299516908,0,0,0,0
"December 23, 2020 at 10:09:41 PM",120.86 KB,0.11806615776081425,0,0,0,0
"December 24, 2020 at 10:08:41 PM",120.61 KB,0.10112346536946953,0,0,0,0
"December 25, 2020 at 10:09:41 PM",120.31 KB,0.17724959518852648,0,0,0,0
"December 26, 2020 at 10:08:41 PM",120.06 KB,0.17251563585823487,0,0,0,0
"December 27, 2020 at 10:08:41 PM",120.06 KB,0.19111111111111112,0,0,0,0
"December 28, 2020 at 10:08:41 PM",120.13 KB,0.2477199074074074,0,0,0,0
"December 29, 2020 at 10:08:41 PM",120.18 KB,0.28010416666666665,0,0,0,0
"December 30, 2020 at 10:08:41 PM",120.18 KB,0.2469675925925926,0,0,0,0
"December 31, 2020 at 10:09:41 PM",120.30 KB,0.28518390006939626,0,0,0,0
"January 1, 2021 at 10:09:41 PM",120.45 KB,0.32609953703703703,0,0,0,0
"January 2, 2021 at 10:08:41 PM",120.60 KB,0.2943015983321751,0,0,0,0
"January 3, 2021 at 10:09:41 PM",120.51 KB,0.29206569174108615,0,0,0,0
"January 4, 2021 at 10:09:41 PM",120.69 KB,0.2919328737492231,0,0,0,0
"January 5, 2021 at 10:08:42 PM",120.70 KB,???,0,0,0,0
"January 6, 2021 at 10:08:42 PM",120.46 KB,0.2903703703703704,0,0,0,0
"January 7, 2021 at 1:17:42 AM",120.66 KB,0.29171075837742505,0,0,0,0
"January 7, 2021 at 10:08:42 PM",120.79 KB,0.29289901412203573,???,???,0,0
"January 8, 2021 at 10:08:42 PM",120.97 KB,0.29520833333333335,0.029027777777777777,0.009456018518518518,0,0
"January 9, 2021 at 10:08:42 PM",120.90 KB,0.29171296296296295,0.025636574074074076,0.008483796296296297,0,0
"January 10, 2021 at 10:08:42 PM",120.74 KB,0.2889699074074074,0.024166666666666666,0.0078125,0,0
"January 11, 2021 at 10:08:42 PM",120.21 KB,0.29118055555555555,0.02707175925925926,0.008252314814814815,0,0
"January 12, 2021 at 10:08:42 PM",120.54 KB,0.29216435185185186,0.03321759259259259,0.008356481481481482,0,0
"January 13, 2021 at 10:08:42 PM",120.80 KB,0.29672453703703705,0.029050925925925924,0.00917824074074074,0,0
"January 14, 2021 at 10:08:42 PM",120.75 KB,0.29386574074074073,0.030868055555555555,0.009571759259259259,0,0
"January 15, 2021 at 10:08:42 PM",120.32 KB,0.29496527777777776,0.02900462962962963,0.009618055555555555,???,0
"January 16, 2021 at 10:08:42 PM",120.12 KB,0.2901851851851852,0.023726851851851853,0.007546296296296297,0.000023148148148148147,???
"January 17, 2021 at 1:33:42 AM",119.61 KB,0.2938211382113821,0.028211382113821137,0.00943089430894309,0,0
"January 17, 2021 at 10:08:41 PM",119.73 KB,???,???,???,???,???
"January 18, 2021 at 10:09:41 PM",120.29 KB,0.2925052047189452,0,0,0,0
