date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"November 10, 2020 at 10:09:41 PM",126.58 KB,0.19442516770761045,0,0,0,0
"November 11, 2020 at 10:09:41 PM",126.51 KB,0.1871875,0,0,0,0
"November 12, 2020 at 10:09:41 PM",126.41 KB,0.17671296296296296,0,0,0,0
"November 13, 2020 at 10:09:41 PM",126.41 KB,0.1932986111111111,0,0,0,0
"November 14, 2020 at 10:08:41 PM",126.40 KB,0.19511234653694695,0,0,0,0
"November 15, 2020 at 10:08:41 PM",126.41 KB,0.19576388888888888,0,0,0,0
"November 16, 2020 at 10:08:41 PM",126.40 KB,0.18627314814814816,0,0,0,0
"November 17, 2020 at 10:09:41 PM",126.40 KB,0.19020356234096691,0,0,0,0
"November 18, 2020 at 10:09:41 PM",126.40 KB,0.1685763888888889,0,0,0,0
"November 19, 2020 at 10:09:41 PM",126.40 KB,0.18770833333333334,0,0,0,0
"November 20, 2020 at 10:08:41 PM",126.40 KB,0.17267778549918925,0,0,0,0
"November 21, 2020 at 10:08:41 PM",126.40 KB,0.16859953703703703,0,0,0,0
"November 22, 2020 at 10:09:41 PM",126.40 KB,0.19969928290538977,0,0,0,0
"November 23, 2020 at 10:08:41 PM",126.53 KB,0.19435950891823026,0,0,0,0
"November 24, 2020 at 10:08:41 PM",126.42 KB,0.1892824074074074,0,0,0,0
"November 25, 2020 at 10:08:41 PM",126.44 KB,0.1682523148148148,0,0,0,0
"November 26, 2020 at 10:09:41 PM",126.54 KB,0.19216978949803376,0,0,0,0
"November 27, 2020 at 10:08:41 PM",126.54 KB,0.1669446374797313,0,0,0,0
"November 28, 2020 at 10:08:41 PM",126.54 KB,0.1724189814814815,0,0,0,0
"November 29, 2020 at 10:08:41 PM",126.54 KB,0.18241898148148147,0,0,0,0
"November 30, 2020 at 10:08:41 PM",126.64 KB,0.1879861111111111,0,0,0,0
"December 1, 2020 at 10:08:41 PM",132.63 KB,0.1985648148148148,0,0,0,0
"December 2, 2020 at 10:09:41 PM",133.35 KB,0.19461022438121675,0,0,0,0
"December 3, 2020 at 10:09:41 PM",126.93 KB,0.1854513888888889,0,0,0,0
"December 4, 2020 at 1:13:41 AM",126.93 KB,0.1651268115942029,0,0,0,0
"December 4, 2020 at 10:09:41 PM",126.93 KB,???,0,0,0,0
"December 5, 2020 at 10:09:41 PM",126.93 KB,0.19258101851851853,0,0,0,0
"December 6, 2020 at 10:08:41 PM",127.04 KB,0.19534398888116747,0,0,0,0
